Year Built,Square Footage,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,State,Property Type,Tags,County
1930.0,1100.0,3.0,1.0,1.0,175000.0,140000.0,2023-05-01T11:44:55Z,2023-08-09,30314,Atlanta,GA,single_family,"laundry_room, recreation_facilities, single_story",Fulton
1969.0,1850.0,3.0,1.0,2.0,134000.0,134000.0,2023-03-13T20:30:30Z,2023-08-09,30315,Atlanta,GA,single_family,"carport, corner_lot, forced_air, laundry_room, basement, two_or_more_stories",Fulton
,,,0.0,,69900.0,65000.0,2023-06-26T12:57:03Z,2023-08-08,30331,Atlanta,GA,land,big_lot,Fulton
1950.0,,,,1.0,529000.0,540000.0,2023-06-19T15:50:52Z,2023-08-08,30315,Atlanta,GA,multi_family,"central_air, city_view, energy_efficient, forced_air, view, single_story, rental_property, furniture, park, groundscare, shopping",Fulton
1953.0,2514.0,3.0,2.0,2.0,600000.0,600000.0,2023-07-06T04:54:02Z,2023-08-08,30329,Atlanta,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, den_or_office, dishwasher, energy_efficient, family_room, fireplace, forced_air, game_room, hardwood_floors, laundry_room, basement, two_or_more_stories, private_backyard, open_floor_plan, floor_plan, big_lot, shopping",DeKalb
1935.0,1452.0,3.0,1.0,1.0,700000.0,725000.0,2023-07-20T18:06:42Z,2023-08-08,30307,Atlanta,GA,single_family,"city_view, community_outdoor_space, community_security_features, dishwasher, energy_efficient, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, community_swimming_pool, basement, single_story, private_backyard, front_porch, park, lake, groundscare, shopping",DeKalb
2002.0,5830.0,5.0,7.0,2.0,2095000.0,1887000.0,2023-05-31T03:33:03Z,2023-08-08,30327,Atlanta,GA,single_family,"central_air, community_outdoor_space, community_security_features, cul_de_sac, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, gourmet_kitchen, private_backyard, high_ceiling, coffer_ceiling, ensuite, shopping",Fulton
,,,0.0,,69900.0,65000.0,2023-06-26T12:50:27Z,2023-08-08,30331,Atlanta,GA,land,"view, water_view, big_lot",Fulton
1964.0,2623.0,5.0,3.0,2.0,374000.0,374000.0,2023-05-26T12:15:50Z,2023-08-08,30318,Atlanta,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, den_or_office, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, basement, two_or_more_stories, fenced_yard",Fulton
1973.0,1181.0,2.0,2.0,1.0,300000.0,307000.0,2023-07-14T21:14:22Z,2023-08-08,30339,Atlanta,GA,condos,"central_air, central_heat, community_gym, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, tennis_court, community_swimming_pool, swimming_pool, single_story, farm, clubhouse, park, tennis, trails",Cobb
1951.0,1966.0,4.0,3.0,1.0,695000.0,695000.0,2023-07-08T14:44:38Z,2023-08-08,30324,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, basement, single_story, garage_1_or_more, garage_2_or_more, fenced_yard, vaulted_ceiling, new_roof",DeKalb
1920.0,1740.0,3.0,2.0,1.0,670000.0,680000.0,2023-07-14T12:13:52Z,2023-08-08,30316,Atlanta,GA,single_family,"central_air, city_view, community_outdoor_space, dishwasher, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, single_story, updated_kitchen, furniture, ensuite",Fulton
2009.0,853.0,1.0,2.0,1.0,280000.0,280000.0,2023-06-23T14:07:11Z,2023-08-08,30324,Atlanta,GA,condos,"central_air, central_heat, community_gym, community_outdoor_space, community_security_features, dishwasher, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, swimming_pool, single_story, kitchen_island, high_ceiling, open_floor_plan, floor_plan, theater_room, ensuite, shopping",Fulton
1940.0,1642.0,4.0,2.0,2.0,425000.0,400500.0,2023-07-11T01:24:07Z,2023-08-08,30317,Atlanta,GA,single_family,"carport, central_air, central_heat, city_view, dishwasher, fireplace, forced_air, hardwood_floors, laundry_room, view, washer_dryer, two_or_more_stories, golf_course, tennis, baseball, lake",DeKalb
1995.0,1416.0,4.0,3.0,2.0,230000.0,130000.0,2023-06-23T22:29:44Z,2023-08-08,30349,Atlanta,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, family_room, fireplace, laundry_room, recreation_facilities, rv_or_boat_parking, view, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, fenced_yard",Fulton
1953.0,2254.0,3.0,3.0,1.0,1195000.0,1202000.0,2023-06-12T13:23:04Z,2023-08-07,30324,Atlanta,GA,single_family,"central_air, community_outdoor_space, community_security_features, den_or_office, dishwasher, energy_efficient, fireplace, forced_air, hardwood_floors, laundry_room, spa_or_hot_tub, swimming_pool, basement, single_story, garage_1_or_more, fenced_yard, high_ceiling, private_bathroom, front_porch, media_room, big_lot, farm, ranch, water_view, park, trails, shopping",DeKalb
2013.0,5400.0,4.0,5.0,2.0,2495000.0,2400000.0,2023-06-23T18:23:03Z,2023-08-07,30342,Atlanta,GA,single_family,"central_air, city_view, community_outdoor_space, den_or_office, dishwasher, energy_efficient, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, private_backyard, coffer_ceiling, big_bathroom, jack_and_jill_bathroom, wine_cellar, media_room, efficient, ensuite, water_view",Fulton
2002.0,1225.0,1.0,2.0,2.0,485000.0,460000.0,2023-06-07T11:59:21Z,2023-08-07,30308,Atlanta,GA,condos,"central_air, central_heat, community_gym, community_security_features, dishwasher, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, two_or_more_stories, garage_1_or_more, open_floor_plan, floor_plan, ensuite",Fulton
1925.0,2118.0,4.0,3.0,2.0,965000.0,975000.0,2023-06-14T07:52:50Z,2023-08-07,30306,Atlanta,GA,single_family,"carport, central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, view, washer_dryer, basement, two_or_more_stories, modern_kitchen, vaulted_ceiling, park, trails, shopping",Fulton
